date,time_of_day,crime_type,location,latitude,longitude,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity
06.01.2010,19:01:20,Embezzlement,Kamakshipalya,12.7782,77.8875,Male,44,Female,42,Knife,Fatal,Partly Cloudy,21,Burglary
10.01.2010,13:19:44,Theft,Electronic City,12.6291,77.7679,Female,33,Male,48,Gun,Minor,Rain,14,Theft
14.01.2010,10:37:59,Robbery,Electronic City,13.6517,77.2541,Female,45,Female,49,None,None,Rain,18,Vandalism
15.01.2010,18:37:01,Vandalism,Kamakshipalya,13.4146,77.2115,Male,58,Female,49,Blunt Object,Fatal,Clear,31,Vandalism
19.01.2010,04:52:31,Burglary,Banashankari,13.1972,77.0024,Other,68,Other,23,Gun,Minor,Partly Cloudy,32,Forgery
23.01.2010,13:29:13,Theft,Jayanagar,12.7595,77.8356,Male,35,Other,66,Blunt Object,None,Clear,28,Robbery
02.02.2010,16:34:23,Vandalism,HSR Layout,13.4424,77.205,Male,70,Female,40,None,Fatal,Rain,34,Fraud
02.02.2010,12:38:23,Burglary,Banashankari,12.6005,77.0016,Female,40,Male,24,Blunt Object,Minor,Clear,16,Burglary
09.02.2010,13:18:09,Drug Offense,Marathahalli,13.3372,77.5076,Other,70,Female,30,Gun,Fatal,Snow,33,Forgery
18.02.2010,14:27:41,Vandalism,Jayanagar,13.2227,77.9773,Male,60,Other,47,Gun,None,Clear,18,Fraud
22.02.2010,18:01:10,Forgery,JP Nagar,13.9638,77.918,Male,30,Other,44,Blunt Object,Fatal,Overcast,19,Embezzlement
27.02.2010,20:27:15,Assault,Banashankari,12.2408,77.9835,Male,35,Male,32,Gun,Major,Snow,22,Assault
07.03.2010,02:53:22,Drug Offense,Marathahalli,13.5083,77.2412,Female,43,Other,52,Blunt Object,Fatal,Clear,18,Fraud
15.03.2010,00:03:14,Embezzlement,Koramangala,13.4004,77.5263,Male,65,Male,37,Knife,None,Rain,6,Fraud
16.03.2010,15:44:32,Burglary,Koramangala,13.1844,77.8217,Male,34,Female,33,Gun,Minor,Rain,29,Drug Offense
19.03.2010,16:26:23,Theft,Kamakshipalya,12.1338,77.4458,Male,20,Female,56,None,None,Overcast,15,Drug Offense
26.03.2010,13:24:37,Burglary,Yelahanka,13.8437,77.884,Other,64,Other,53,Knife,Minor,Overcast,37,Fraud
27.03.2010,19:08:09,Burglary,Whitefield,13.8881,77.4108,Female,53,Male,22,Knife,Fatal,Clear,27,Drug Offense
09.04.2010,11:59:55,Drug Offense,Kamakshipalya,13.5399,77.5947,Other,32,Other,58,Blunt Object,Fatal,Overcast,15,Embezzlement
14.04.2010,17:45:07,Theft,JP Nagar,13.9153,77.7312,Female,18,Female,65,Gun,Major,Clear,11,Robbery
15.04.2010,22:44:24,Robbery,Yelahanka,13.629,77.644,Male,69,Male,50,None,None,Overcast,2,Fraud
22.04.2010,20:18:47,Theft,HSR Layout,13.5558,77.0068,Female,55,Male,32,Gun,Fatal,Clear,7,Embezzlement
27.04.2010,04:16:20,Fraud,Electronic City,12.5283,77.5792,Male,33,Other,51,Blunt Object,None,Overcast,23,Fraud
27.04.2010,19:42:07,Embezzlement,Kamakshipalya,13.2707,77.3987,Other,24,Other,19,Gun,None,Partly Cloudy,39,Fraud
12.05.2010,08:28:09,Robbery,Whitefield,12.79,77.3971,Male,46,Female,52,Knife,Fatal,Clear,24,Theft
13.05.2010,18:35:25,Robbery,JP Nagar,12.0962,77.449,Female,21,Female,21,Gun,None,Clear,17,Theft
15.05.2010,06:29:28,Forgery,Electronic City,12.9885,77.2303,Other,46,Other,41,Blunt Object,Major,Rain,16,Forgery
24.05.2010,22:00:29,Forgery,Kamakshipalya,13.6917,77.8229,Female,20,Female,21,Gun,Major,Rain,15,Assault
25.05.2010,06:30:57,Theft,HSR Layout,12.6786,77.4868,Other,35,Female,32,None,Major,Snow,1,Theft
01.06.2010,14:31:29,Assault,Whitefield,13.6473,77.6198,Female,36,Other,38,Blunt Object,Major,Rain,7,None
03.06.2010,09:28:18,Embezzlement,Indiranagar,12.56,77.0373,Other,23,Female,39,Knife,Minor,Partly Cloudy,40,Vandalism
07.06.2010,19:08:21,Fraud,HSR Layout,13.0782,77.0343,Other,55,Male,52,Knife,Major,Overcast,37,Embezzlement
14.06.2010,06:55:57,Assault,Electronic City,13.2069,77.9341,Male,32,Other,25,Knife,Fatal,Snow,4,Assault
