date,time_of_day,crime_type,location,latitude,longitude,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity
2010-01-06,19:01:20,Embezzlement,Kamakshipalya,12.7782,77.8875,Male,44,Female,42,Knife,Fatal,Partly Cloudy,21,Burglary
2010-01-10,13:19:44,Theft,Electronic City,12.6291,77.7679,Female,33,Male,48,Gun,Minor,Rain,14,Theft
2010-01-14,10:37:59,Robbery,Electronic City,13.6517,77.2541,Female,45,Female,49,None,None,Rain,18,Vandalism
2010-01-15,18:37:01,Vandalism,Kamakshipalya,13.4146,77.2115,Male,58,Female,49,Blunt Object,Fatal,Clear,31,Vandalism
2010-01-19,04:52:31,Burglary,Banashankari,13.1972,77.0024,Other,68,Other,23,Gun,Minor,Partly Cloudy,32,Forgery
2010-01-23,13:29:13,Theft,Jayanagar,12.7595,77.8356,Male,35,Other,66,Blunt Object,None,Clear,28,Robbery
2010-02-02,12:38:23,Burglary,Banashankari,12.6005,77.0016,Female,40,Male,24,Blunt Object,Minor,Clear,16,Burglary
2010-02-02,16:34:23,Vandalism,HSR Layout,13.4424,77.205,Male,70,Female,40,None,Fatal,Rain,34,Fraud
2010-02-09,13:18:09,Drug Offense,Marathahalli,13.3372,77.5076,Other,70,Female,30,Gun,Fatal,Snow,33,Forgery
2010-02-18,14:27:41,Vandalism,Jayanagar,13.2227,77.9773,Male,60,Other,47,Gun,None,Clear,18,Fraud
2010-02-22,18:01:10,Forgery,JP Nagar,13.9638,77.918,Male,30,Other,44,Blunt Object,Fatal,Overcast,19,Embezzlement
2010-02-27,20:27:15,Assault,Banashankari,12.2408,77.9835,Male,35,Male,32,Gun,Major,Snow,22,Assault
2010-03-07,02:53:22,Drug Offense,Marathahalli,13.5083,77.2412,Female,43,Other,52,Blunt Object,Fatal,Clear,18,Fraud
2010-03-15,00:03:14,Embezzlement,Koramangala,13.4004,77.5263,Male,65,Male,37,Knife,None,Rain,6,Fraud
2010-03-16,15:44:32,Burglary,Koramangala,13.1844,77.8217,Male,34,Female,33,Gun,Minor,Rain,29,Drug Offense
2010-03-19,16:26:23,Theft,Kamakshipalya,12.1338,77.4458,Male,20,Female,56,None,None,Overcast,15,Drug Offense
2010-03-26,13:24:37,Burglary,Yelahanka,13.8437,77.884,Other,64,Other,53,Knife,Minor,Overcast,37,Fraud
2010-03-27,19:08:09,Burglary,Whitefield,13.8881,77.4108,Female,53,Male,22,Knife,Fatal,Clear,27,Drug Offense
2010-04-09,11:59:55,Drug Offense,Kamakshipalya,13.5399,77.5947,Other,32,Other,58,Blunt Object,Fatal,Overcast,15,Embezzlement
2010-04-14,17:45:07,Theft,JP Nagar,13.9153,77.7312,Female,18,Female,65,Gun,Major,Clear,11,Robbery
2010-04-15,22:44:24,Robbery,Yelahanka,13.629,77.644,Male,69,Male,50,None,None,Overcast,2,Fraud
2010-04-22,20:18:47,Theft,HSR Layout,13.5558,77.0068,Female,55,Male,32,Gun,Fatal,Clear,7,Embezzlement
2010-04-27,04:16:20,Fraud,Electronic City,12.5283,77.5792,Male,33,Other,51,Blunt Object,None,Overcast,23,Fraud
2010-04-27,19:42:07,Embezzlement,Kamakshipalya,13.2707,77.3987,Other,24,Other,19,Gun,None,Partly Cloudy,39,Fraud
2010-05-12,08:28:09,Robbery,Whitefield,12.79,77.3971,Male,46,Female,52,Knife,Fatal,Clear,24,Theft
2010-05-13,18:35:25,Robbery,JP Nagar,12.0962,77.449,Female,21,Female,21,Gun,None,Clear,17,Theft
2010-05-15,06:29:28,Forgery,Electronic City,12.9885,77.2303,Other,46,Other,41,Blunt Object,Major,Rain,16,Forgery
2010-05-24,22:00:29,Forgery,Kamakshipalya,13.6917,77.8229,Female,20,Female,21,Gun,Major,Rain,15,Assault
2010-05-25,06:30:57,Theft,HSR Layout,12.6786,77.4868,Other,35,Female,32,None,Major,Snow,1,Theft
2010-06-01,14:31:29,Assault,Whitefield,13.6473,77.6198,Female,36,Other,38,Blunt Object,Major,Rain,7,None
2010-06-03,09:28:18,Embezzlement,Indiranagar,12.56,77.0373,Other,23,Female,39,Knife,Minor,Partly Cloudy,40,Vandalism
2010-06-07,19:08:21,Fraud,HSR Layout,13.0782,77.0343,Other,55,Male,52,Knife,Major,Overcast,37,Embezzlement
2010-06-14,06:55:57,Assault,Electronic City,13.2069,77.9341,Male,32,Other,25,Knife,Fatal,Snow,4,Assault
2010-06-15,12:39:08,Forgery,Marathahalli,12.6456,77.9479,Female,29,Female,41,None,Minor,Overcast,22,Assault
2010-06-22,11:00:33,Assault,Banashankari,13.2426,77.2098,Female,24,Female,67,Blunt Object,Minor,Overcast,26,Burglary
2010-07-07,07:18:36,Assault,Bellandur,12.2617,77.9418,Other,31,Other,48,Knife,None,Rain,0,Drug Offense
2010-07-11,23:25:57,Fraud,Kamakshipalya,13.8859,77.7358,Female,48,Other,68,Gun,None,Overcast,11,Assault
2010-07-12,06:48:45,Forgery,HSR Layout,13.2261,77.4715,Male,58,Female,58,Blunt Object,Minor,Overcast,36,Assault
2010-07-14,08:31:02,Vandalism,Banashankari,13.7958,77.1439,Other,33,Female,52,None,None,Snow,33,Assault
2010-07-15,13:05:29,Theft,HSR Layout,13.562,77.5968,Other,66,Male,43,None,Fatal,Rain,10,Drug Offense
2010-07-24,22:16:13,Burglary,Yelahanka,13.4599,77.8732,Female,50,Male,41,None,Major,Rain,31,Fraud
2010-07-27,07:47:52,Fraud,Electronic City,13.5417,77.0053,Male,66,Male,33,Blunt Object,None,Snow,19,Robbery
2010-08-01,12:19:55,Forgery,HSR Layout,13.1729,77.1537,Female,68,Other,47,None,Major,Partly Cloudy,20,Vandalism
2010-08-06,20:08:43,Burglary,Whitefield,13.2961,77.2073,Other,62,Female,25,None,Minor,Rain,36,None
2010-08-10,03:41:18,Vandalism,Electronic City,12.9001,77.301,Other,64,Male,65,Gun,Fatal,Partly Cloudy,21,Assault
2010-08-14,09:37:12,Assault,Yelahanka,13.9718,77.9748,Male,29,Female,51,Gun,Major,Overcast,2,Robbery
2010-08-18,01:00:30,Assault,Yelahanka,13.7379,77.85,Other,30,Other,26,Blunt Object,None,Partly Cloudy,16,Robbery
2010-08-19,01:59:02,Forgery,Jayanagar,13.4034,77.2573,Other,43,Female,42,Gun,Fatal,Partly Cloudy,38,None
2010-08-28,11:27:42,Vandalism,Jayanagar,12.0209,77.1632,Other,58,Female,56,Knife,None,Partly Cloudy,38,Forgery
2010-08-28,13:23:38,Drug Offense,Marathahalli,12.456,77.7857,Male,69,Male,37,Gun,Fatal,Clear,13,Theft
2010-09-02,01:26:44,Robbery,Whitefield,12.8458,77.2838,Male,40,Female,52,Knife,None,Rain,18,Burglary
2010-09-03,04:19:49,Drug Offense,Marathahalli,13.0035,77.6769,Other,45,Male,27,None,None,Rain,4,Robbery
2010-09-08,11:46:29,Burglary,Indiranagar,13.705,77.9716,Male,44,Female,42,Blunt Object,Minor,Snow,30,Fraud
2010-09-08,22:32:44,Theft,Whitefield,13.3788,77.4991,Other,68,Other,29,Knife,Minor,Snow,20,Theft
2010-09-13,17:31:20,Theft,Koramangala,12.8956,77.3823,Other,69,Female,33,Gun,Major,Overcast,21,Fraud
2010-09-18,10:01:22,Assault,Electronic City,12.886,77.6824,Other,41,Female,21,Knife,None,Rain,3,Theft
2010-09-24,20:04:20,Fraud,Marathahalli,13.4532,77.1307,Female,53,Female,49,None,Major,Partly Cloudy,12,Robbery
2010-10-01,09:00:34,Robbery,Yelahanka,13.1519,77.3632,Female,23,Other,47,Knife,Minor,Partly Cloudy,17,Assault
2010-10-10,03:44:19,Embezzlement,Kamakshipalya,13.7866,77.011,Female,37,Other,56,None,Minor,Partly Cloudy,21,Drug Offense
2010-10-13,19:11:14,Assault,Kamakshipalya,12.0948,77.596,Other,43,Male,64,None,Fatal,Snow,7,Assault
2010-10-13,06:18:52,Vandalism,HSR Layout,13.0636,77.7733,Female,47,Other,57,Blunt Object,Minor,Rain,21,Fraud
2010-10-25,19:57:37,Robbery,HSR Layout,13.2418,77.5149,Female,48,Male,34,Gun,Fatal,Clear,24,Burglary
2010-10-26,11:32:27,Embezzlement,Bellandur,13.8603,77.6948,Male,38,Female,47,Blunt Object,Major,Overcast,10,Forgery
2010-11-02,04:32:28,Assault,Indiranagar,13.4109,77.8019,Male,31,Male,68,Gun,Major,Rain,15,Theft
2010-11-05,09:56:28,Fraud,Marathahalli,12.7071,77.645,Male,49,Female,36,Blunt Object,Fatal,Partly Cloudy,39,Forgery
2010-11-07,01:29:56,Vandalism,HSR Layout,12.2184,77.9652,Other,52,Male,56,None,Fatal,Overcast,16,Theft
2010-11-07,09:10:05,Robbery,Marathahalli,13.3731,77.0256,Other,35,Male,36,Gun,Major,Partly Cloudy,5,Burglary
2010-11-12,04:19:48,Embezzlement,Koramangala,12.4323,77.8182,Other,46,Male,58,None,Fatal,Snow,1,Forgery
2010-11-21,15:26:40,Embezzlement,Yelahanka,13.819,77.774,Other,66,Female,70,Knife,Fatal,Rain,23,None
2010-11-25,03:57:00,Robbery,Jayanagar,12.5416,77.343,Male,35,Other,56,Gun,Major,Clear,35,Burglary
2010-11-27,22:26:22,Drug Offense,Jayanagar,12.2178,77.1768,Male,26,Other,46,Blunt Object,Fatal,Clear,14,Theft
2010-12-05,06:50:58,Forgery,Whitefield,13.069,77.974,Male,30,Male,24,Blunt Object,Major,Overcast,36,Robbery
2010-12-11,10:55:34,Forgery,Marathahalli,13.6186,77.9073,Female,23,Male,70,Blunt Object,Major,Overcast,2,Burglary
2010-12-14,07:21:33,Fraud,Electronic City,13.8907,77.5532,Female,66,Female,28,Gun,Fatal,Clear,16,Assault
2010-12-24,01:51:40,Burglary,Marathahalli,12.4073,77.1669,Other,51,Female,23,Blunt Object,Major,Overcast,7,Theft
2010-12-25,17:36:36,Drug Offense,Koramangala,12.3423,77.6142,Female,37,Female,36,Gun,None,Partly Cloudy,17,None
2011-01-05,16:25:11,Assault,Electronic City,13.9292,77.4578,Female,58,Female,20,Blunt Object,Minor,Rain,18,Burglary
2011-01-11,09:17:15,Vandalism,Bellandur,12.3922,77.014,Other,22,Male,60,Blunt Object,Minor,Snow,39,Burglary
2011-01-22,00:27:00,Drug Offense,Banashankari,13.7776,77.1076,Male,68,Female,68,None,Minor,Snow,3,Robbery
2011-01-24,11:32:32,Assault,Whitefield,12.171,77.315,Female,33,Male,55,None,Minor,Overcast,39,Robbery
2011-01-26,06:16:20,Theft,JP Nagar,12.6257,77.8768,Other,44,Other,55,None,None,Clear,36,Robbery
2011-01-28,11:22:41,Drug Offense,Koramangala,13.5346,77.5175,Male,56,Male,67,Blunt Object,Fatal,Snow,34,Drug Offense
2011-02-01,07:15:08,Embezzlement,Yelahanka,13.7245,77.0554,Female,37,Other,69,None,None,Partly Cloudy,7,Theft
2011-02-17,18:12:04,Drug Offense,Yelahanka,12.5828,77.2352,Male,33,Female,27,Knife,Minor,Overcast,30,Assault
2011-02-18,01:15:22,Burglary,Yelahanka,12.8969,77.6189,Female,51,Other,58,Blunt Object,Fatal,Rain,0,Forgery
2011-02-18,16:08:35,Drug Offense,Whitefield,13.7379,77.1793,Other,28,Male,42,Blunt Object,Major,Snow,16,Embezzlement
2011-02-21,03:24:47,Embezzlement,Banashankari,12.4051,77.8049,Female,38,Male,60,None,Fatal,Overcast,12,Forgery
2011-03-04,08:31:16,Burglary,Yelahanka,12.0284,77.7976,Other,21,Other,56,Gun,None,Snow,39,Robbery
2011-03-07,12:23:18,Robbery,Jayanagar,12.0696,77.1971,Other,49,Other,41,Knife,None,Partly Cloudy,19,Vandalism
2011-03-10,03:37:55,Forgery,Electronic City,12.1764,77.3319,Other,61,Female,54,Knife,Fatal,Clear,17,Burglary
2011-03-11,05:03:59,Forgery,Koramangala,12.1239,77.4011,Male,68,Male,47,Blunt Object,Fatal,Clear,3,Vandalism
2011-03-13,22:09:14,Forgery,Kamakshipalya,13.7751,77.4493,Male,70,Other,44,Gun,None,Overcast,35,Embezzlement
2011-03-25,04:03:17,Assault,JP Nagar,13.4811,77.7438,Female,46,Female,58,None,Fatal,Rain,32,Forgery
2011-04-03,18:39:40,Forgery,Marathahalli,12.0872,77.6771,Female,64,Other,57,Blunt Object,Fatal,Rain,38,Robbery
2011-04-03,20:44:20,Robbery,Indiranagar,12.0524,77.9877,Male,27,Male,66,Gun,Fatal,Overcast,9,Fraud
2011-04-04,21:56:04,Theft,Whitefield,12.3947,77.0175,Male,63,Male,20,Gun,Minor,Partly Cloudy,2,Robbery
2011-04-14,10:50:07,Vandalism,Electronic City,13.4099,77.316,Male,42,Other,44,None,Major,Partly Cloudy,21,Robbery
2011-04-14,10:23:09,Assault,HSR Layout,12.8096,77.9413,Female,29,Male,46,Blunt Object,Fatal,Clear,18,Fraud
2011-04-26,10:50:10,Embezzlement,Bellandur,13.4906,77.214,Male,65,Other,24,Knife,None,Clear,36,Forgery
2011-05-03,18:29:00,Robbery,Bellandur,12.5726,77.9929,Female,46,Other,28,Blunt Object,Fatal,Partly Cloudy,19,Forgery
2011-05-07,00:54:00,Embezzlement,Koramangala,12.8873,77.6739,Male,46,Female,35,Gun,None,Clear,32,Burglary
2011-05-08,20:08:45,Embezzlement,Bellandur,12.12,77.3741,Female,67,Male,20,Gun,Minor,Overcast,5,Drug Offense
2011-05-16,10:30:20,Vandalism,Kamakshipalya,12.1702,77.5127,Female,20,Female,23,Blunt Object,Major,Overcast,13,Drug Offense
2011-05-17,12:05:05,Drug Offense,JP Nagar,13.454,77.7411,Male,32,Female,27,None,Major,Overcast,19,Embezzlement
