crime_type,location,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury
Kidnapping,Whitefield,Other,52,Male,21,Knife,Minor
Fraud,Koramangala,Other,24,Male,23,None,Minor
Theft,Kamakshipalya,Other,67,Female,32,None,Minor
Robbery,Kamakshipalya,Male,18,Male,35,Gun,Minor
Homicide,Electronic City,Other,46,Other,33,Gun,Fatal
Burglary,Kamakshipalya,Female,53,Male,30,Gun,None
Fraud,Malleswaram,Other,69,Female,36,None,Fatal
Fraud,Indiranagar,Other,29,Male,45,None,Minor
Homicide,Whitefield,Other,67,Male,37,Blunt Object,Fatal
Embezzlement,Indiranagar,Female,59,Other,49,None,Minor
Theft,Kamakshipalya,Other,36,Female,32,None,Fatal
Robbery,Electronic City,Female,29,Female,36,Gun,Fatal
Homicide,Kamakshipalya,Male,20,Female,23,Blunt Object,Minor
Embezzlement,Yelahanka,Other,54,Female,41,None,Fatal
Vandalism,Hebbal,Other,43,Male,23,Blunt Object,None
Homicide,Jayanagar,Male,62,Other,18,Blunt Object,Minor
Arson,Banashankari,Male,31,Male,39,Fire,None
Assault,Electronic City,Male,61,Male,62,Gun,None
Assault,Electronic City,Female,46,Other,56,Knife,Fatal
Robbery,Koramangala,Other,55,Male,44,Knife,Minor
Fraud,Hebbal,Other,69,Other,35,None,Minor
Robbery,Yelahanka,Female,58,Male,21,Gun,None
Vandalism,Koramangala,Female,31,Male,65,Blunt Object,Minor
Robbery,Jayanagar,Other,51,Female,22,Blunt Object,None
Vandalism,Hebbal,Male,58,Female,22,Spray Paint,Minor
Fraud,Malleswaram,Female,48,Other,62,None,Fatal
Fraud,Koramangala,Other,26,Other,64,None,Fatal
Embezzlement,Hebbal,Other,25,Other,20,None,Fatal
Burglary,Hebbal,Male,53,Other,48,None,Minor
Kidnapping,Electronic City,Female,30,Female,60,None,Minor
Assault,Banashankari,Other,37,Other,20,Gun,None
Fraud,Yelahanka,Male,22,Other,22,None,Minor
Embezzlement,Malleswaram,Male,25,Male,29,None,None
Vandalism,Malleswaram,Male,37,Male,38,Spray Paint,None
Burglary,Banashankari,Other,59,Other,47,Gun,Fatal
Homicide,Jayanagar,Other,69,Female,51,Knife,None
Burglary,Yelahanka,Other,55,Female,70,Gun,None
Homicide,Indiranagar,Female,22,Male,38,Knife,Minor
Theft,Banashankari,Female,55,Male,56,Knife,None
Assault,Electronic City,Other,20,Female,59,Gun,Minor
Kidnapping,Whitefield,Male,55,Other,44,None,None
Assault,Electronic City,Male,43,Other,50,Knife,Minor
Vandalism,Banashankari,Other,47,Other,66,Blunt Object,None
Homicide,Malleswaram,Other,53,Female,40,Gun,Minor
Embezzlement,Jayanagar,Female,69,Male,28,None,Fatal
Robbery,Jayanagar,Female,67,Other,36,Blunt Object,Minor
Burglary,Hebbal,Male,68,Male,54,Knife,Fatal
Vandalism,Whitefield,Other,63,Male,31,None,Fatal
Burglary,Koramangala,Other,50,Other,30,Gun,Minor
Arson,Electronic City,Male,45,Other,52,Fire,Minor
Homicide,Yelahanka,Male,25,Other,36,Blunt Object,Fatal
Vandalism,Jayanagar,Female,24,Other,55,Blunt Object,Minor
Arson,Kamakshipalya,Female,52,Other,62,None,Minor
Arson,Electronic City,Male,57,Female,18,None,Minor
Assault,Kamakshipalya,Female,47,Other,45,Gun,Minor
Theft,Malleswaram,Male,61,Female,32,Gun,Fatal
Kidnapping,Hebbal,Other,65,Male,27,Gun,Minor
Homicide,Indiranagar,Female,55,Female,55,Blunt Object,None
Arson,Whitefield,Male,68,Male,62,Fire,Fatal
Embezzlement,Koramangala,Male,26,Male,61,None,None
Kidnapping,Banashankari,Other,29,Male,70,None,Minor
Robbery,Kamakshipalya,Other,59,Other,41,Blunt Object,Fatal
Robbery,Malleswaram,Male,28,Male,54,Knife,Minor
Vandalism,Electronic City,Other,31,Male,19,Blunt Object,None
Homicide,Banashankari,Female,27,Male,49,Gun,Minor
Burglary,Banashankari,Other,22,Female,37,None,None
Theft,Malleswaram,Male,69,Female,25,Knife,Minor
Robbery,Kamakshipalya,Male,21,Other,65,Blunt Object,Fatal
Burglary,Electronic City,Male,64,Female,22,None,Minor
Robbery,Kamakshipalya,Female,37,Female,45,Knife,Minor
Kidnapping,Electronic City,Male,54,Female,33,None,None
Kidnapping,Electronic City,Other,53,Female,40,None,Minor
Assault,Banashankari,Male,31,Male,55,Fists,None
Homicide,Malleswaram,Male,20,Female,21,Gun,None
Homicide,Jayanagar,Male,47,Other,38,Gun,Fatal
Theft,Banashankari,Male,59,Male,64,None,None
Arson,Banashankari,Other,26,Male,29,None,Fatal
Fraud,Kamakshipalya,Male,38,Female,54,None,Minor
Burglary,Koramangala,Male,40,Other,30,Knife,Minor
Embezzlement,Malleswaram,Male,65,Other,28,None,Fatal
Fraud,Indiranagar,Female,53,Female,58,None,Fatal
Fraud,Indiranagar,Male,21,Male,53,None,None
Homicide,Yelahanka,Other,43,Female,38,Blunt Object,None
Kidnapping,Whitefield,Other,62,Other,22,Knife,Minor
Kidnapping,Hebbal,Other,64,Female,31,Gun,None
Kidnapping,Banashankari,Male,42,Other,19,Gun,Fatal
Homicide,Yelahanka,Female,32,Female,64,Gun,Minor
Homicide,Koramangala,Female,21,Male,21,Knife,Fatal
Vandalism,Koramangala,Female,51,Male,42,None,Minor
Theft,Yelahanka,Other,52,Other,42,Gun,Fatal
Homicide,Electronic City,Female,24,Female,25,Gun,Fatal
Kidnapping,Malleswaram,Female,47,Male,41,Knife,None
Embezzlement,Banashankari,Male,64,Other,70,None,None
Embezzlement,Whitefield,Male,42,Male,39,None,Minor
Theft,Kamakshipalya,Female,41,Female,29,None,Fatal
Fraud,Whitefield,Other,48,Male,33,None,Fatal
Fraud,Whitefield,Other,29,Male,53,None,None
Arson,Jayanagar,Female,26,Female,58,Fire,Minor
Burglary,Jayanagar,Other,58,Other,47,Gun,None
Vandalism,Koramangala,Male,19,Female,47,Spray Paint,None
Homicide,Indiranagar,Other,34,Male,21,Knife,None
Robbery,Hebbal,Female,25,Female,33,Blunt Object,Minor
Embezzlement,Electronic City,Other,18,Other,19,None,Fatal
