date,time_of_day,crime_type,location,latitude,longitude,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity
19.01.1995,21:08:59,Embezzlement,HSR Layout,13.5346,77.6502,Female,64,Female,68,Blunt Object,Fatal,Partly Cloudy,26,Robbery
11.01.1995,10:22:26,Robbery,Electronic City,13.1041,77.454,Other,38,Male,32,Blunt Object,Fatal,Partly Cloudy,8,Theft
21.01.1995,21:58:56,Forgery,Electronic City,13.1362,77.6618,Other,52,Male,43,Knife,Minor,Snow,36,Robbery
21.01.1995,00:37:08,Drug Offense,JP Nagar,13.1391,77.3014,Other,31,Female,35,None,Minor,Rain,36,None
11.01.1995,19:45:42,Burglary,Marathahalli,13.0913,77.6486,Female,54,Male,22,Knife,Minor,Partly Cloudy,32,None
21.01.1995,07:57:17,Drug Offense,Yelahanka,13.4424,77.668,Female,69,Other,65,None,Major,Clear,19,Drug Offense
12.01.1995,13:32:43,Drug Offense,JP Nagar,12.8718,77.5564,Female,34,Other,61,Blunt Object,Major,Clear,33,Embezzlement
23.01.1995,18:02:02,Theft,Koramangala,12.8643,77.7428,Male,57,Other,52,Knife,None,Clear,19,Embezzlement
26.01.1995,06:45:01,Forgery,Marathahalli,13.0246,77.6169,Other,45,Female,52,None,Major,Clear,8,Burglary
20.01.1995,00:39:57,Robbery,Koramangala,12.9424,77.5845,Male,26,Other,35,Gun,Major,Clear,11,Forgery
06.01.1995,05:44:59,Theft,Whitefield,12.0209,77.6618,Female,60,Other,32,None,Minor,Rain,20,Theft
07.01.1995,07:39:04,Drug Offense,Electronic City,13.108,77.6551,Male,62,Female,38,Gun,Major,Rain,28,Embezzlement
14.01.1995,07:54:06,Forgery,Marathahalli,12.8476,77.7639,Male,26,Other,48,Blunt Object,Minor,Overcast,12,Drug Offense
01.01.1995,06:46:40,Fraud,Whitefield,12.8854,77.5013,Male,49,Other,31,Gun,Minor,Partly Cloudy,3,None
09.01.1995,21:01:26,Drug Offense,Whitefield,13.7245,77.1768,Male,65,Female,41,Blunt Object,Minor,Rain,8,Drug Offense
12.01.1995,02:26:21,Forgery,Marathahalli,13.0893,77.5066,Male,43,Male,40,Gun,Fatal,Partly Cloudy,21,Drug Offense
08.01.1995,17:09:02,Theft,Banashankari,13.9718,77.6202,Other,19,Female,30,Blunt Object,Fatal,Rain,11,Assault
12.02.1995,04:56:44,Theft,Banashankari,13.1207,77.7661,Other,70,Male,40,Blunt Object,Major,Partly Cloudy,35,Vandalism
16.02.1995,17:33:57,Drug Offense,Jayanagar,13.1626,77.6105,Other,55,Male,68,Gun,None,Snow,34,Theft
07.02.1995,18:25:12,Forgery,Koramangala,12.9894,77.7146,Female,37,Male,21,Knife,Major,Overcast,23,Forgery
26.02.1995,10:42:26,Assault,Jayanagar,12.9145,77.0554,Female,42,Female,20,None,Fatal,Clear,38,Fraud
21.02.1995,11:17:29,Burglary,Yelahanka,12.9822,77.5174,Male,24,Female,65,None,Fatal,Overcast,12,Forgery
18.02.1995,05:07:42,Vandalism,Electronic City,13.1261,77.6234,Other,35,Other,43,None,Major,Rain,29,Burglary
11.02.1995,20:15:55,Theft,JP Nagar,13.1989,77.4102,Male,37,Female,43,Knife,Minor,Partly Cloudy,4,Theft
11.02.1995,18:07:34,Embezzlement,Yelahanka,13.7379,77.4541,Male,41,Male,49,Knife,None,Overcast,10,Assault
28.02.1995,16:00:01,Assault,Marathahalli,13.7379,77.9418,Other,51,Other,38,None,Major,Overcast,15,None
18.02.1995,05:52:55,Forgery,Whitefield,12.3947,77.6943,Male,41,Other,67,Knife,Minor,Snow,22,Robbery
22.02.1995,10:44:53,Embezzlement,Electronic City,13.7751,77.5249,Other,65,Female,18,Gun,Fatal,Overcast,14,Robbery
09.02.1995,20:04:19,Drug Offense,Indiranagar,13.1407,77.6621,Female,44,Male,68,None,None,Overcast,2,Theft
02.02.1995,09:02:01,Vandalism,HSR Layout,12.4508,77.7894,Male,44,Female,28,Blunt Object,Major,Partly Cloudy,17,Theft
04.02.1995,19:24:48,Embezzlement,JP Nagar,13.2227,77.4011,Female,46,Other,22,Knife,Minor,Snow,33,Drug Offense
19.02.1995,11:14:51,Robbery,Whitefield,13.1424,77.5457,Other,52,Other,22,Gun,None,Rain,26,Theft
17.02.1995,14:43:49,Drug Offense,Koramangala,13.0895,77.7885,Male,36,Male,58,Blunt Object,None,Rain,34,Robbery
12.02.1995,17:54:36,Drug Offense,Indiranagar,12.9029,77.621,Other,58,Male,50,Gun,Major,Clear,11,Robbery
15.03.1995,17:20:23,Assault,HSR Layout,12.3538,77.4726,Female,51,Male,49,Gun,Minor,Snow,39,Embezzlement
23.03.1995,19:51:19,Robbery,Whitefield,13.8907,77.6509,Female,31,Other,58,None,Fatal,Clear,18,Burglary
02.03.1995,04:08:33,Embezzlement,Marathahalli,12.9757,77.7853,Male,68,Female,55,Knife,Major,Clear,30,Robbery
23.03.1995,22:36:15,Robbery,HSR Layout,13.0151,77.4751,Other,66,Other,24,Blunt Object,None,Overcast,9,Drug Offense
11.03.1995,13:04:02,Embezzlement,JP Nagar,13.8425,77.5279,Male,18,Male,36,Gun,Major,Clear,1,Vandalism
12.03.1995,16:44:01,Burglary,Jayanagar,13.0249,77.789,Female,41,Other,64,Gun,None,Partly Cloudy,3,Vandalism
10.03.1995,23:50:42,Burglary,Marathahalli,12.8892,77.1954,Female,65,Other,50,Blunt Object,None,Overcast,22,Robbery
15.03.1995,19:13:43,Fraud,Kamakshipalya,12.1024,77.7795,Other,47,Other,36,Gun,Major,Clear,40,None
09.03.1995,17:14:32,Embezzlement,HSR Layout,13.0675,77.5668,Female,29,Other,64,Knife,Major,Partly Cloudy,26,Burglary
20.03.1995,17:26:32,Forgery,Banashankari,13.705,77.473,Female,40,Male,62,None,None,Partly Cloudy,14,Robbery
